AssemblyAccession	AssemblyName	Organism	SpeciesTaxid	BioSampleAccn	ContigN50	Coverage	Strain	Pathovar	Owner	Link
GCF_000621645.1	ASM62164v1	Vibrio cholerae ATCC 14035 (g-proteobacteria)	666	SAMN02744003	168747		ATCC 14035		DOE Joint Genome Institute	223104
GCF_000711795.1	ASM71179v1	Vibrio pacinii DSM 19139 (g-proteobacteria)	170674	SAMN02745241	243217		DSM 19139		DOE Joint Genome Institute	234841 http://genomesonline.org/cgi-bin/GOLD/GOLDCards.cgi?goldstamp=Gi12046
GCF_000711805.1	ASM71180v1	Vibrio rhizosphaerae DSM 18581 (g-proteobacteria)	398736	SAMN02745802	167608		DSM 18581		DOE Joint Genome Institute	234834 http://genomesonline.org/cgi-bin/GOLD/GOLDCards.cgi?goldstamp=Gi12049
GCF_000740015.1	ASM74001v1	Vibrio diazotrophicus NBRC 103148 (g-proteobacteria)	685	SAMD00018681	250787	140	NBRC 103148		National Institute of Technology and Evaluation Biological Resource Center	http://www.bio.nite.go.jp/ngac/e/project_wgs-e.html 231383
GCF_000764325.1	2540-90v1.0	Vibrio navarrensis (g-proteobacteria)	29495	SAMN02708866	3244259	15	ATCC 51183		CDC	
GCF_000772105.1	ASM77210v1	Vibrio tubiashii ATCC 19109 (g-proteobacteria)	29498	SAMN02940924	3294490	20	19109		USDA-Agricultural Research Service-Eastern Regional Research Center	
GCF_000813305.1	ASM81330v1	Vibrio parahaemolyticus NBRC 12711 (g-proteobacteria)	670	SAMD00018682	381903	109	NBRC 12711		National Institute of Technology and Evaluation Biological Resource Center	14071901 http://www.bio.nite.go.jp/ngac/e/project_wgs-e.html 172314
GCF_000817815.1	ASM81781v1	Vibrio owensii CAIM 1854 = LMG 25443 (g-proteobacteria)	696485	SAMN02946409	124014	77	DY05		Australian Institute of Marine Science	
GCF_000818435.1	ASM81843v1	Vibrio hyugaensis (g-proteobacteria)	1534743	SAMD00019133	191228	51	090810a		University of Miyazaki	271954
GCF_000827885.1	ASM82788v1	Vibrio renipiscarius (g-proteobacteria)	1461322	SAMN03176898	515942	109	DCR 1-4-2		University of Valencia	265934
GCF_000830505.1	ASM83050v1	Vibrio mytili (g-proteobacteria)	50718	SAMN03285415	122372	80	CAIM 528		CIAD, A.C. Mazatlan Unit for Aquaculture	
GCF_000967545.1	S2757	Vibrio galatheae (g-proteobacteria)	579748	SAMN03323928	228481	152	S2757		Technical University of Denmark	
GCF_001011015.1	ASM101101v1	Vibrio parahaemolyticus (g-proteobacteria)	670	SAMN03458146	260767	100	ATCC 17802		Huazhong Agricultural University	
GCF_001012815.1	ASM101281v1	Vibrio mexicanus (g-proteobacteria)	1004326	SAMN03339753	88203	23	CAIM 1540		CIAD, A.C. Mazatlan Unit for Aquaculture	275160
GCF_001048535.1	VLGP7_PRJEB5883	Vibrio crassostreae (g-proteobacteria)	246167	SAMEA2591296	270473	50	LGP7		EBI	
GCF_001263135.1	Vh-14126.1	Vibrio harveyi NBRC 15634 = ATCC 14126 = KCTC 12724 (g-proteobacteria)	669	SAMN03968604	45628	15	ATCC 14126		CIAD, A.C., Mazatlan Unit for Aquaculture	173085
GCF_001274785.1	ASM127478v1	Vibrio hepatarius (g-proteobacteria)	171383	SAMN03951930	292816	205	DSM 19134		Technical University of Denmark	290060
GCF_001274805.1	ASM127480v1	Vibrio nereis (g-proteobacteria)	693	SAMN03952449	285193	143	DSM 19584		Technical University of Denmark	
GCF_001399455.2	ASM139945v2	Vibrio bivalvicida (g-proteobacteria)	1276888	SAMN04145357	173172	100	605		University of Santiago de Compostela	297724
GCF_001456255.1	ASM145625v1	Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759 (g-proteobacteria)	691	SAMN03178087	3248023	96.48	ATCC 14048		Harvard Medical School	
GCF_001471275.2	ASM147127v2	Vibrio alginolyticus (g-proteobacteria)	663	SAMN03996338	3345160	349	FDAARGOS_97		US Food and Drug Administration	231221
GCF_001471575.2	ASM147157v2	Vibrio harveyi (g-proteobacteria)	669	SAMN03996325	3540268	452	FDAARGOS_109		US Food and Drug Administration	231221
GCF_001471585.2	ASM147158v2	Vibrio cholerae (g-proteobacteria)	666	SAMN03996320	2902028	342	FDAARGOS_103		US Food and Drug Administration	231221
GCF_001541335.1	ASM154133v1	Vibrio toranzoniae (g-proteobacteria)	1194427	SAMN04155649	221494	100	Vb 10.8		Universidad de Santiago de Compostela	
GCF_001547935.1	ASM154793v1	Vibrio tritonius (g-proteobacteria)	1435069	SAMD00019582	3434724	29	AM2		Hokkaido University Faculty of Fisheries Sciences Division of Marine Life Science Laboratory of Microbiology	http://dx.doi.org/10.3389/fmicb.2013.00414 295458
GCF_001558015.1	ASM155801v1	Vibrio splendidus (g-proteobacteria)	29497	SAMN04279321	290730	37.5	NCCB 53037		University of Cambridge	302718
GCF_001558415.2	ASM155841v2	Vibrio fluvialis (g-proteobacteria)	676	SAMN03996321	3155838	493.223	ATCC 33809		US Food and Drug Administration	231221
GCF_001558495.2	ASM155849v2	Vibrio parahaemolyticus (g-proteobacteria)	670	SAMN03996250	3286802	385.419	ATCC 17802		US Food and Drug Administration	231221
GCF_001591065.1	ASM159106v1	Vibrio vulnificus NBRC 15645 = ATCC 27562 (g-proteobacteria)	672	SAMD00046713	117751	113	NBRC 15645		National Institute of Technology and Evaluation Biological Resource Center	http://www.nite.go.jp/en/nbrc/genome/project/wgs/project_wgs2.html 172309
GCF_001591085.1	ASM159108v1	Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759 (g-proteobacteria)	691	SAMD00046757	753868	104	NBRC 15636		National Institute of Technology and Evaluation Biological Resource Center	http://www.nite.go.jp/en/nbrc/genome/project/wgs/project_wgs2.html 172315
GCF_001591105.1	ASM159110v1	Vibrio nereis NBRC 15637 (g-proteobacteria)	693	SAMD00046758	227762	120	NBRC 15637		National Institute of Technology and Evaluation Biological Resource Center	http://www.nite.go.jp/en/nbrc/genome/project/wgs/project_wgs2.html 172316
GCF_001591125.1	ASM159112v1	Vibrio mediterranei NBRC 15635 (g-proteobacteria)	689	SAMD00046756	241418	165	NBRC 15635		National Institute of Technology and Evaluation Biological Resource Center	http://www.nite.go.jp/en/nbrc/genome/project/wgs/project_wgs2.html 172317
GCF_001591145.1	ASM159114v1	Vibrio harveyi NBRC 15634 = ATCC 14126 = KCTC 12724 (g-proteobacteria)	669	SAMD00046755	92314	159	NBRC 15634		National Institute of Technology and Evaluation Biological Resource Center	http://www.nite.go.jp/en/nbrc/genome/project/wgs/project_wgs2.html 172319
GCF_001598835.1	ASM159883v1	Vibrio fluvialis NBRC 103150 (g-proteobacteria)	676	SAMD00046905	244887	113	NBRC 103150		National Institute of Technology and Evaluation Biological Resource Center
EBI	http://www.nite.go.jp/en/nbrc/genome/project/wgs/project_wgs2.html 172322
GCF_001625175.1	ViCECT7692_1.0	Vibrio jasicida (g-proteobacteria)	766224	SAMD00043915	43831	132	CECT 7692		Department of Bacteriology, Faculty of Medical Sciences, Kyushu university	317453
GCF_001639065.2	ASM163906v2	Vibrio barjaei (g-proteobacteria)	1676683	SAMN04221167	286196	100	3062		University of Santiago de Compostela	
GCF_001680025.1	ASM168002v1	Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759 (g-proteobacteria)	691	SAMN05302747	3241530	178.8	ATCC 14048		Synthetic Genomics, Inc.	327130
GCF_001680045.1	ASM168004v1	Vibrio natriegens (g-proteobacteria)	691	SAMN05302748	3311485	172.1	CCUG 16371		Synthetic Genomics, Inc.	327130
GCF_001695575.1	ASM169557v1	Vibrio europaeus (g-proteobacteria)	300876	SAMN04508217	1788614	220	PP-638		University of Santiago de Compostela	
GCF_001854765.1	ASM185476v1	Vibrio sonorensis (g-proteobacteria)	1004316	SAMN04029016	189594	28	CAIM 1076		CIAD, A.C. Mazatlan Unit for Aquaculture	294717
GCF_001895205.1	ASM189520v1	Vibrio injensis (g-proteobacteria)	1307414	SAMD00066877	445489	690	M12-1144		Korea Research Institute of Bioscience and Biotechnology	354994
GCF_001989995.2	ASM198999v2	Vibrio anguillarum (g-proteobacteria)	55601	SAMN03177464	72773	88	DSM 21597		University of Copenhagen	
GCF_001998785.1	ASM199878v1	Vibrio parahaemolyticus (g-proteobacteria)	670	SAMN06076928	309969	92	ATCC 17802		FDA/CFSAN	
GCF_002119525.1	ASM211952v1	Vibrio syngnathi (g-proteobacteria)	3034029	SAMN05860643	3298328	141.45	K08M4		Georg-August-University Goettingen, Genomic and Applied Microbiology, Goettingen Genomics Laboratory	345286
GCF_002156455.1	ASM215645v1	Vibrio coralliirubri (g-proteobacteria)	1516159	SAMN06344317	57851	60	Corallo1		Universiti Teknologi Malaysia	
GCF_002156475.1	ASM215647v1	Vibrio gigantis (g-proteobacteria)	296199	SAMN06344326	187546	60	LGP 13		Universiti Teknologi Malaysia	
GCF_002156525.1	ASM215652v1	Vibrio celticus (g-proteobacteria)	446372	SAMN06344327	68631	60	Rd 8.15		Universiti Teknologi Malaysia	
GCF_002157735.2	ASM215773v2	Vibrio aphrogenes (g-proteobacteria)	1891186	SAMD00057777	2494640	549	CA-1004		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	391150
GCF_002216685.1	ASM221668v1	Vibrio tarriae (g-proteobacteria)	2014742	SAMN07258286	3017468	15	2521-89		university of alberta	391152
GCF_002218025.2	ASM221802v2	Vibrio casei (g-proteobacteria)	673372	SAMD00080446	2756634	964	DSM 22364		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	391150
GCF_002218045.2	ASM221804v2	Vibrio rumoiensis (g-proteobacteria)	76258	SAMD00080447	2768302	658	FERM P-14531		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	391150
GCF_002224265.1	ASM222426v1	Vibrio vulnificus NBRC 15645 = ATCC 27562 (g-proteobacteria)	672	SAMN04097182	3266118		ATCC 27562		Center for Genomics and Bioinformatics	295776
GCF_002257545.1	ASM225754v1	Vibrio qinghaiensis (g-proteobacteria)	2025808	SAMN07178513	2872911	134	Q67		South China Botanical Garden, Chinese Academy of Sciences	
GCF_002737025.1	ASM273702v1	Vibrio splendidus (g-proteobacteria)	29497	SAMN07709073	300419	188.76	DSM 19640		Georg-August-University Goettingen	412290
GCF_002741985.1	ASM274198v1	Vibrio rotiferianus CAIM 577 = LMG 21460 (g-proteobacteria)	190895	SAMN07819046	188275	73	CAIM 577		CIAD, A.C., Mazatlan Unit for Aquaculture	173029
GCF_002749895.1	ASM274989v1	Vibrio fujianensis (g-proteobacteria)	1974215	SAMN06673307	11563	125	FJ201301		National Institute for Communicable Disease Control and Prevention, China CDC	
GCF_002811245.1	ASM281124v1	Vibrio salilacus (g-proteobacteria)	1323749	SAMN07212053	149445	200	DSG-S6		National Institute for Communicable Disease Control and Prevention, China CDC	
GCF_002849855.1	ASM284985v1	Vibrio azureus (g-proteobacteria)	512649	SAMN06105395	3027709	55.6	LC2-005		Atmosphere and Ocean Research Institute, The University of Tokyo	
GCF_002906655.1	ASM290665v1	Vibrio hyugaensis (g-proteobacteria)	1534743	SAMD00019133	3530957	262	090810a		University of Miyazaki	271954
GCF_002930005.1	ASM293000v1	Vibrio jasicida (g-proteobacteria)	766224	SAMN08238102	44761	171	CECT 7692		Academia Sinica	427410
GCF_002934045.1	ASM293404v1	Vibrio gangliei (g-proteobacteria)	2077090	SAMN08378960	187731	1108	SZDIS-1		Gui Zhou Medical University	430964
GCF_003144035.1	ASM314403v1	Vibrio albus (g-proteobacteria)	2200953	SAMN09205056	353509	140	E4404		Shandong University at Weihai	
GCF_003263785.1	ASM326378v1	Vibrio variabilis (g-proteobacteria)	990271	SAMN03338703	81551	17	CAIM 1454		CIAD, A.C. Mazatlan Unit for Aquaculture	275013
GCF_003350295.1	ASM335029v1	Vibrio tetraodonis (g-proteobacteria)	2231647	SAMN09437379	183738	145	A511		Federal University of Rio de Janeiro	
GCF_003350325.1	ASM335032v1	Vibrio rhodolitus (g-proteobacteria)	2231649	SAMN09437463	161850	94	G98		Federal University of Rio de Janeiro	
GCF_003415655.1	ASM341565v1	Vibrio maerlii (g-proteobacteria)	2231648	SAMN09437435	369373	106	G62		Federal University of Rio de Janeiro	
GCF_003568965.1	Vhalioticoli	Vibrio halioticoli (g-proteobacteria)	71388	SAMD00047014	230151	37	IAM 14596		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	487844
GCF_003568985.1	Vezurae	Vibrio ezurae (g-proteobacteria)	252583	SAMD00047015	157552	148	JCM 21522		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	487844
GCF_003569005.1	Vsuperstes	Vibrio superstes (g-proteobacteria)	198815	SAMD00047016	607752	113	JCM 21480		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	487844
GCF_003605645.1	ASM360564v1	Vibrio sinensis (g-proteobacteria)	2302434	SAMN09835476	170405	100	BEI233		Ocean University of China	486078
GCF_003716875.1	ASM371687v1	Vibrio zhugei (g-proteobacteria)	2479546	SAMN10245970	2901449	100	HBUAS61001		Hubei University of Arts and Science	496585
GCF_003856525.1	ASM385652v1	Vibrio viridaestus (g-proteobacteria)	2487322	SAMN10372278	355290	100	LJC006		Ocean University of China	503719
GCF_003937805.1	ASM393780v1	Vibrio pectenicida (g-proteobacteria)	62763	SAMN10524535	38980	55	CAIM 594		CIAD, A.C.	508521
GCF_003970385.1	ASM397038v1	Vibrio aquaticus (g-proteobacteria)	2496559	SAMN10584482	361544	100	BEI207		Ocean University of China	509551
GCF_003970425.1	ASM397042v1	Vibrio penaeicida (g-proteobacteria)	104609	SAMN10612036	25726	22	CAIM 285		CIAD, A.C.	510613
GCF_004551525.1	ASM455152v1	Vibrio ouci (g-proteobacteria)	2499078	SAMN10644111	118840	100	BEI176		Ocean University of China	511808
GCF_004764665.1	ASM476466v1	Vibrio echinoideorum (g-proteobacteria)	2100116	SAMEA4755329	214063	99.84			EBI	
GCF_005281815.1	ASM528181v1	Vibrio chagasii (g-proteobacteria)	170679	SAMN11536919	79875	100	LMG 21353		Institute of Oceanology, Chinese Academy of Sciences	
GCF_005281825.1	ASM528182v1	Vibrio gallaecicus (g-proteobacteria)	552386	SAMN11536724	316420	100	DSM 23502		Institute of Oceanology, Chinese Academy of Sciences	
GCF_005281835.1	ASM528183v1	Vibrio profundi (g-proteobacteria)	1774960	SAMN10654000	488354	100	TP187		Institute of Oceanology, Chinese Academy of Sciences	
GCF_006333845.1	ASM633384v1	Vibrio tasmaniensis (g-proteobacteria)	212663	SAMN11618414	106221	70	LMG 20012		Station Biologique Roscoff (CNRS/UMPC)	
GCF_006364355.1	ASM636435v1	Vibrio furnissii (g-proteobacteria)	29494	SAMN11056492	3275692	790.51	FDAARGOS_777		US Food and Drug Administration	231221
GCF_006538525.1	ASM653852v1	Vibrio inusitatus NBRC 102082 (g-proteobacteria)	413402	SAMD00018680	196672	128	NBRC 102082		National Institute of Technology and Evaluation Biological Resource Center	17473233 http://www.bio.nite.go.jp/ngac/e/project_wgs-e.html 172318
GCF_006538565.1	ASM653856v1	Vibrio comitans NBRC 102076 (g-proteobacteria)	413401	SAMD00018781	236561	63	NBRC 102076		National Institute of Technology and Evaluation Biological Resource Center	17473233 http://www.bio.nite.go.jp/ngac/e/project_wgs-e.html 172326
GCF_007990935.1	ASM799093v1	Vibrio sagamiensis NBRC 104589 (g-proteobacteria)	512650	SAMD00169732	96784	102	NBRC 104589		National Institute of Technology and Evaluation Biological Resource Center	http://www.nite.go.jp/en/nbrc/genome/project/wgs/project_wgs2.html 172312
GCF_007990955.1	ASM799095v1	Vibrio superstes NBRC 103154 (g-proteobacteria)	198815	SAMD00169733	238540	114	NBRC 103154		National Institute of Technology and Evaluation Biological Resource Center	http://www.nite.go.jp/en/nbrc/genome/project/wgs/project_wgs2.html 172310
GCF_008801285.1	ASM880128v1	Vibrio kanaloae (g-proteobacteria)	170673	SAMN12697599	298987	113.06	CCUG 56968		University of Gothenburg - CCUG	563568
GCF_008801295.1	ASM880129v1	Vibrio chagasii (g-proteobacteria)	170679	SAMN12697598	79875	65.11	CCUG 48643		University of Gothenburg - CCUG	563568
GCF_008830195.1	ASM883019v1	Vibrio panuliri (g-proteobacteria)	1381081	SAMN12855858	1570740	18	LBS 2		Institute of Life Sciences	
GCF_009363415.1	ASM936341v1	Vibrio aquimaris (g-proteobacteria)	2587862	SAMN11996127	3138671	121.9	THAF100		Uni Bielefeld	547984
GCF_009601765.2	ASM960176v2	Vibrio algicola (g-proteobacteria)	2662262	SAMN13112826	2518765	215	SM1977		Shangdong University Qingdao CAMPUS	579497
GCF_009665475.1	ASM966547v1	Vibrio vulnificus (g-proteobacteria)	672	SAMN10702673	3294783	87	2142-77		CDC	266293
GCF_009811315.1	ASM981131v1	Vibrio atypicus (g-proteobacteria)	558271	SAMD00183390	494603	30	DSM 25292		Laboratory of Genome Science, Graduate School of Marine Science and Technology, Tokyo University of Marine Science and Technology	
GCF_009857245.1	ASM985724v1	Vibrio tetraodonis subsp. pristinus (g-proteobacteria)	2231647	SAMN13735740	666375	58	OCN044		Southern Oregon Univeristy	
GCF_009874545.1	ASM987454v1	Vibrio eleionomae (g-proteobacteria)	2653505	SAMN12993430	65885	37	CAIM 722		CIAD, A.C.	576428
GCF_009938165.1	ASM993816v1	Vibrio taketomensis (g-proteobacteria)	2572923	SAMD00167058	2963883	33.9	C4III282		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	
GCF_009938205.1	ASM993820v1	Vibrio panuliri (g-proteobacteria)	1381081	SAMD00167060	3237261	265	JCM 19500		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	
GCF_009938225.1	ASM993822v1	Vibrio ponticus (g-proteobacteria)	265668	SAMD00167061	3215656	110	DSM 16217		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	
GCF_011064285.1	ASM1106428v1	Vibrio ziniensis (g-proteobacteria)	2711221	SAMN14142770	3207372	941	ZWAL4003		Third Institute of Oceanography	607666
GCF_011090275.1	ASM1109027v1	Vibrio aestuarianus subsp. cardii (g-proteobacteria)	28171	SAMN14133997	50782	21	12/122 3T3		IFREMER	607444
GCF_012275705.1	ASM1227570v1	Vibrio chemaguriensis (g-proteobacteria)	2527672	SAMN10952912	188182	95	Iso1		Indian Institute of Science Education and Research Kolkata	
GCF_012395185.1	ASM1239518v1	Vibrio aestuarianus (g-proteobacteria)	28171	SAMN14562735	96002	50	LMG 7909		IFREMER	623953
GCF_012395215.1	ASM1239521v1	Vibrio aestuarianus subsp. francensis (g-proteobacteria)	28171	SAMN14562733	2394840	100	02/041		IFREMER	623953
GCF_012641465.1	ASM1264146v1	Vibrio agarilyticus (g-proteobacteria)	2726741	SAMN14599479	211829	205	SM6		Third Institute of Oceanography China	
GCF_013041605.1	ASM1304160v1	Vibrio plantisponsor (g-proteobacteria)	664643	SAMN14766778	275298	270	LMG 24470		Third Institute of Oceanography China	
GCF_013074385.2	ASM1307438v2	Vibrio ostreicida (g-proteobacteria)	526588	SAMN14842399	213925	502	PP-203		Southern Oregon Univeristy	
GCF_013416885.1	ASM1341688v1	Vibrio gallaecicus (g-proteobacteria)	552386	SAMN11584348	316420	100	VB 8.9		Institute of Oceanology, Chinese Academy of Sciences	
GCF_014050145.1	ASM1405014v1	Vibrio marinisediminis (g-proteobacteria)	2758441	SAMN15636989	242929	299.2	404		Binzhou Medical University	
GCF_014878155.1	ASM1487815v1	Vibrio lentus (g-proteobacteria)	136468	SAMN16339786	169299	20	40M4T		Universidad de Santiago de Compostela	
GCF_014879975.1	ASM1487997v1	Vibrio bathopelagicus (g-proteobacteria)	2777577	SAMN16339685	3649238	50	Sal10		Universidad de Santiago de Compostela	
GCF_015223435.1	ASM1522343v1	Vibrio hibernica (g-proteobacteria)	2587465	SAMN11954197	60909	117	B1.19		University College Cork	
GCF_015278125.1	ASM1527812v1	Vibrio fluminensis (g-proteobacteria)	2783614	SAMN16595172	111428	654	A621		UFRJ	
GCF_015686695.1	ASM1568669v1	Vibrio nitrifigilis (g-proteobacteria)	2789781	SAMN16824175	3086989	298	NFV-1		Food Industry Research and Development Institute	679095
GCF_016900875.1	ASM1690087v1	Vibrio ulleungensis (g-proteobacteria)	2807619	SAMN17718628	448823	19.2	188UL20-2		Hannam University	698438
GCF_017169525.1	ASM1716952v1	Vibrio paracholerae (g-proteobacteria)	650003	SAMN13704163	181406	100	EDC-792		University of Alberta	266293 598367
