Genome	Length(bp)
Vibrio_litoralis_DSM_17657	3823881
Vibrio_maerlii_G62	4758008
Vibrio_mangrovi_CECT_7927	5007139
Vibrio_marinisediminis_404	4588813
Vibrio_marisflavi_CECT_7928	4782088
Vibrio_mediterranei_	5668610
Vibrio_methylphosphonaticus_S4B1	5212532
Vibrio_metschnikovii_NCTC8443	3831334
Vibrio_mimicus_NCTC11435	4443087
Vibrio_misgurnus_GVC	3216806
Vibrio_mytili_type_strain__CIP103929	4619752
Vibrio_natriegens_CCUG_16371	5161447
Vibrio_navarrensis_ATCC_51183	4439391
Vibrio_neonatus_JCM_21521	3840645
Vibrio_nereis_DSM_19584	4096630
Vibrio_nitrifigilis_NFV_1	5484941
Vibrio_nomapromontoriensis_JAMM1728	5372602
Vibrio_olivae_CECT_8064	5093306
Vibrio_orientalis_CIP_102891	4698244
Vibrio_ostreae_OG9_811	4807684
Vibrio_ostreicida_CECT_7398	5057276
Vibrio_ouci_BEI176	5483755
Vibrio_owensii_DY05	6345380
Vibrio_pacinii_DSM_19139	4304676
Vibrio_palustris_CECT_9027	3736840
Vibrio_panuliri_JCM_19500	4855939
Vibrio_paracholerae_EDC_792	3805611
Vibrio_parahaemolyticus_ATCC_17802	5152461
Vibrio_pectenicida_LMG_19642	4539399
Vibrio_pelagius_ATCC_25916	4963975
Vibrio_penaeicida_IFO_15640	6782963
Vibrio_plantisponsor_MSSRF60	4503713
Vibrio_pomeroyi_LMG_20537	5659581
Vibrio_ponticus_DSM_16217	4796932
Vibrio_porteresiae_MSSRF30	5498609
Vibrio_profundi_TP187	5189300
Vibrio_proteolyticus_ATCC_15338	4814227
Vibrio_qinghaiensis_Q67	4017713
Vibrio_rarus_LMG_23674	3877193
Vibrio_renipiscarius_DCR_1_4_2	4339718
Vibrio_rhizosphaerae_LMG_23790	4557402
Vibrio_rhodolitus_G98	4559723
Vibrio_rotiferianus_CAIM_577	5368584
Vibrio_ruber_CECT_7878	4622997
Vibrio_rumoiensis_FERM_P_14531	4207152
Vibrio_sabulosilitoris_MAO6	5347990
Vibrio_sagamiensis_NBRC_104589	4476604
Vibrio_salilacus_DSG_S6	3619996
Vibrio_satsumensis_JAMM0822	5091028
Vibrio_scophthalmi_LMG_19158	4854288
Vibrio_sinaloensis_CECT_7298	4987716
Vibrio_sinensis_BEI233	5302048
Vibrio_sinus_S4M6	4883789
Vibrio_spartinae_CECT_9026	5192394
Vibrio_splendidus_LMG_19031	5879117
Vibrio_superstes_G3_29	4718577
Vibrio_syngnathi_K08M4	4886292
Vibrio_tapetis_subsp__quintayensis_CECT_8851	5198666
Vibrio_tapetis_subsp__tapetis_	5725871
Vibrio_tarriae_2521_89	4123863
Vibrio_tasmaniensis_LMG_20012	4992314
Vibrio_tetraodonis_A511	4360861
Vibrio_tetraodonis_subsp__pristinus_OCN044	4613523
Vibrio_thalassae_KCTC_32373	5871215
Vibrio_toranzoniae_CECT_7225	4605952
Vibrio_tritonius_JCM_16456	5221926
Vibrio_tubiashii_ATCC_19109	5540337
Vibrio_ulleungensis_188UL20_2	4380046
Vibrio_viridaestus_LJC006	4713072
Vibrio_vulnificus_2142_77	5079985
Vibrio_wakamikoensis_JAMM2464	5125757
Vibrio_xiamenensis_CGMCC_1_10228	5501246
Vibrio_zhanjiangensis_NBRC_108723	4782196
Vibrio_ziniensis_ZWAL4003	4650556
