accession	organism_name	tax_id	best_match_organism	ani	best_type_assembly	best_match_category	match_status	taxonomy_check_status	submitted_organism
GCA_054113885.1	Vibrio chemaguriensis	2527672	Vibrio chemaguriensis	98.14	GCA_012275705.1	suspected_type	species_match	OK	Vibrio chemaguriensis
GCF_011801455.1	Vibrio diabolicus	50719	Vibrio diabolicus	98.08	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_000962815.1	Vibrio diabolicus	50719	Vibrio diabolicus	97.99	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_001010935.1	Vibrio diabolicus	50719	Vibrio diabolicus	97.88	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_001048675.1	Vibrio diabolicus	50719	Vibrio chemaguriensis	98.11	GCA_012275705.1	suspected_type	mismatch	Inconclusive	Vibrio diabolicus
GCF_001691185.1	Vibrio diabolicus	50719	Vibrio diabolicus	97.9	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_002953335.1	Vibrio diabolicus	50719	Vibrio diabolicus	97.87	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_002953355.1	Vibrio diabolicus	50719	Vibrio diabolicus	98.09	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_002953395.1	Vibrio diabolicus	50719	Vibrio diabolicus	98.07	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_003798525.1	Vibrio diabolicus	50719	Vibrio diabolicus	98.02	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_004522045.1	Vibrio diabolicus	50719	Vibrio diabolicus	98.03	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_006151825.1	Vibrio diabolicus	50719	Vibrio diabolicus	97.88	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_008757025.1	Vibrio diabolicus	50719	Vibrio diabolicus	98.07	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_010894395.1	Vibrio diabolicus	50719	Vibrio diabolicus	98.1	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_013332575.1	Vibrio diabolicus	50719	Vibrio diabolicus	98.2	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_013368925.1	Vibrio diabolicus	50719	Vibrio diabolicus	97.94	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_015160835.1	Vibrio diabolicus	50719	Vibrio diabolicus	98.1	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_016812015.1	Vibrio diabolicus	50719	Vibrio diabolicus	97.85	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_016825335.1	Vibrio diabolicus	50719	Vibrio diabolicus	98.04	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_019273595.1	Vibrio diabolicus	50719	Vibrio diabolicus	97.93	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_020717785.1	Vibrio diabolicus	50719	Vibrio diabolicus	98.12	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_021322875.1	Vibrio diabolicus	50719	Vibrio diabolicus	97.97	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_021440175.1	Vibrio diabolicus	50719	Vibrio diabolicus	98	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_022288885.1	Vibrio diabolicus	50719	Vibrio diabolicus	98	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_022288955.1	Vibrio diabolicus	50719	Vibrio diabolicus	97.99	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_022288995.1	Vibrio diabolicus	50719	Vibrio diabolicus	98.01	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_022289055.1	Vibrio diabolicus	50719	Vibrio diabolicus	98	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_022395435.1	Vibrio diabolicus	50719	Vibrio diabolicus	98.04	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_022398015.1	Vibrio diabolicus	50719	Vibrio diabolicus	98.04	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_022398055.1	Vibrio diabolicus	50719	Vibrio diabolicus	98.05	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_022398225.1	Vibrio diabolicus	50719	Vibrio diabolicus	98.12	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_024531135.1	Vibrio diabolicus	50719	Vibrio diabolicus	97.96	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_024531155.1	Vibrio diabolicus	50719	Vibrio diabolicus	98.05	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_024581015.1	Vibrio diabolicus	50719	Vibrio diabolicus	97.92	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_024743715.1	Vibrio diabolicus	50719	Vibrio diabolicus	97.9	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_024743735.1	Vibrio diabolicus	50719	Vibrio diabolicus	97.9	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_024744025.1	Vibrio diabolicus	50719	Vibrio diabolicus	98.04	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_024744635.1	Vibrio diabolicus	50719	Vibrio diabolicus	97.96	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_024747875.1	Vibrio diabolicus	50719	Vibrio diabolicus	97.87	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_024747885.1	Vibrio diabolicus	50719	Vibrio diabolicus	97.92	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_024747905.1	Vibrio diabolicus	50719	Vibrio diabolicus	97.85	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_024747935.1	Vibrio diabolicus	50719	Vibrio diabolicus	98.03	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_024747945.1	Vibrio diabolicus	50719	Vibrio diabolicus	97.84	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_024747975.1	Vibrio diabolicus	50719	Vibrio diabolicus	97.97	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_024747995.1	Vibrio diabolicus	50719	Vibrio diabolicus	98.02	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_024748015.1	Vibrio diabolicus	50719	Vibrio diabolicus	97.95	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_024748035.1	Vibrio diabolicus	50719	Vibrio diabolicus	98.02	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_024748045.1	Vibrio diabolicus	50719	Vibrio diabolicus	98.02	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_024748065.1	Vibrio diabolicus	50719	Vibrio diabolicus	97.94	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_024748095.1	Vibrio diabolicus	50719	Vibrio diabolicus	97.86	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_024748115.1	Vibrio diabolicus	50719	Vibrio diabolicus	97.83	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_024748135.1	Vibrio diabolicus	50719	Vibrio diabolicus	97.87	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_024748155.1	Vibrio diabolicus	50719	Vibrio diabolicus	98.05	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_024748195.1	Vibrio diabolicus	50719	Vibrio diabolicus	97.9	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_024748225.1	Vibrio diabolicus	50719	Vibrio diabolicus	97.89	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_024748235.1	Vibrio diabolicus	50719	Vibrio diabolicus	97.86	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_024748275.1	Vibrio diabolicus	50719	Vibrio diabolicus	97.96	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_024748295.1	Vibrio diabolicus	50719	Vibrio diabolicus	97.92	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_024748315.1	Vibrio diabolicus	50719	Vibrio diabolicus	98.01	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_024748335.1	Vibrio diabolicus	50719	Vibrio diabolicus	97.95	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_024748355.1	Vibrio diabolicus	50719	Vibrio diabolicus	98.07	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_024748375.1	Vibrio diabolicus	50719	Vibrio diabolicus	97.86	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_024748395.1	Vibrio diabolicus	50719	Vibrio diabolicus	98.02	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_024748435.1	Vibrio diabolicus	50719	Vibrio diabolicus	97.9	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_024748455.1	Vibrio diabolicus	50719	Vibrio diabolicus	98.02	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_024748475.1	Vibrio diabolicus	50719	Vibrio diabolicus	98.03	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_024748495.1	Vibrio diabolicus	50719	Vibrio diabolicus	97.94	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_024748515.1	Vibrio diabolicus	50719	Vibrio diabolicus	97.85	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_026847595.1	Vibrio diabolicus	50719	Vibrio diabolicus	98.07	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_026847605.1	Vibrio diabolicus	50719	Vibrio diabolicus	98.06	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_026898475.1	Vibrio diabolicus	50719	Vibrio diabolicus	98.04	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_026933185.1	Vibrio diabolicus	50719	Vibrio diabolicus	98.01	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
GCF_032970405.1	Vibrio diabolicus	50719	Vibrio diabolicus	98.02	GCA_001048675.1	suspected_type	species_match	OK	Vibrio diabolicus
